id;titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios;imagem
125;Sopa fria de melancia e tomate;Entrada;Muito Fácil;10 min;254 Kcal;3.57;620 gr de melancia | 160 gr de tomates cerejas | 1 col. sopa azeite;Retire a semente da melancia e corte a polpa em pedaços generosos. Bata junto com os tomates e azeite. Deixe bem homogêneo. | Agora sirva nas tigelas, decore com folhas de hortelã picadas e um fio de azeite. | Está pronto!!;Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/sopa-fria-de-melancia-e-tomate--458232p715791.webp
126;Ninho de páscoa (feito com batatas);Entrada;Médio;42 min;100 Kcal;3.86;500 gr de batata | 2 ovos | 5 fatias de bacon (ou presunto/fiambre) | 70 gr de queijo ralado | 12 ovos de codorna (codorniz) | sal | pimenta;Descasque e raspe as batatas. Coloque-as numa peneira e pressione bem para retirar o máximo de água. Coloque-as então numa tigela e junte 2 ovos (de galinha) e tempere com sal e pimenta. Misture bem. | Unte a forma de muffins e coloque em cada parte 1 col. bem cheia desta mistura. Note que a batata raspada deverá estar também nas bordas da forma para ter o aspecto de ninho. Use então seus dedos para montar as batatas nas bordas. Em seguida, leve ao forno por 12 minutos a 180°C. | Corte o bacon em pequenos pedaços e grelhe-os na frigideira quente. Faça também os 12 ovos de codorna/codorniz estrelados (ou seja, deixe-o por inteiro, sem misturar clara e gema). | Quando os ninhos estiverem cozidos, deixe-os arrefecer/esfriar por alguns minutos e desenforme-os delicadamente. | Recheie então com o queijo ralado, alguns pedaços de bacon e cubra-o com um ovo de codorna estrelado que já fizemos na etapa 3. Seus ninhos de Páscoa estão prontos. Ficou lindo, não achou?;Sem glúten | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/ninho-de-pascoa-feito-com-batatas--455824p708303.webp
127;Creme de couve, rápida e deliciosa;Entrada;Muito Fácil;22 min;143 Kcal;3.17;1/2 couve kale (couve frisada ou outro tipo) | 1 batata (bem grande) | 1 cebola | 1 dente alho | sal | pimenta | 1 pitada de noz moscada | amêndoas torradas | azeite | 500 ml caldo (usamos de legumes);Lave as folhas da couve e leve-as na água fervente por cerca de 1 minuto. Imediatamente coloque-as numa tigela com água muito fria. Deixe por uns 2 minutos. Retire-as e enxugue-as muito bem com papel toalha ou pano de prato limpo. | Descasque e corte a batata em pedaços. Pique o alho já descascado. Reserve. Corte as folhas de couve grosseiramente. | Coloque um pouco de óleo na panela de pressão. Acrescente a batata, o alho, a cebola e as folhas de couve. Tempere a gosto. Deixe refogar pour alguns minutos. | Despeje o caldo de legumes e cozinhe (panela fechada) por uns 15 minutos após pegar pressão. Retire do fogo e deixe esfriar antes de abrir. | Filtre a sopa com o intuito de separar o caldo dos legumes. Reserve o líquido. No mixer, bata todos os legumes. | Aos poucos, acrescente o caldo até obter a textura desejada (não é necessário utilizar todo o caldo). | É só servir. Jogue por cima um fio de azeite e amêndoas torradas se desejar. Bom apetite!;Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/creme-de-couve-rapida-e-deliciosa--464761p737032.webp
128;Salada de rúcula, queijo e pêssego assado;Entrada;Muito Fácil;20 min;448 Kcal;4;2 pêssegos | 1 queijo burrata | 3 punhados de rúcula | 2 col. sopa amêndoas (opcional) | azeite | manjericão (fresco) | sal | pimenta;Lave os pêssegos e a rúcula. Escorra a burrata e quebre as amêndoas. Corte os pêssegos em lâminas (nem finas, nem grossas). | Pêssego: Numa frigideira anti-aderente e no fogo médio, coloque os pedaços de pêssego e deixe-os até dourar os dois lados. | Montagem: coloque a rúcula no fundo do prato, em seguida os pêssegos e pedaços da burrata. | Tempere com azeite, sal e pimenta. Polvilhe com amêndoas e por cima, algumas folhas de manjericão. Está pronto!;Sem glúten | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/salada-de-rucula-queijo-e-pessego-assado--463717p734175.webp
129;Muffins de chouriço: macios e picantes;Entrada;Muito Fácil;30 min;178 Kcal;3.8;120 g de farinha trigo | 1/2 colher de chá de fermento em pó | sal (uma pitada) | pimenta | 2 ovos | 1 col. de sopa de concentrado (ou molho) de tomate | 80 ml de leite | 50 ml de óleo | 70 g de queijo (usamos Emmental ralado) | 70 g de chouriço;Comece retirando a pele do chouriço e, em seguida, corte-o em pedaços pequenos. *Frite-o por alguns minutos, se desejar! | Numa tigela, coloque a farinha, o fermento em pó, o sal (uma pequena quantidade) e a pimenta. | Adicione o concentrado de tomate, o leite, o óleo e os ovos. Bata bem para misturar. | Adicione o queijo ralado e os pedaços de chouriço. Misture novamente. | Despeje a massa em uma forma de muffin untada, usando uma colher de sopa para distribuir uniformemente os pedaços de chouriço em cada forminha. | Asse por 15 a 20 minutos em um forno pré-aquecido a 180°C. | Desenforme e está pronto. Bom apetite!;Sem açúcar;https://pt.petitchef.com/imgupl/recipe/muffins-de-chourico-macios-e-picantes--469383p754107.webp
130;Rolos primavera de salmão e maçã;Entrada;Muito Fácil;15 min;283 Kcal;4;3 fatias de salmão fumado (defumado) | 1 maçã verde | 4 papel de arroz (crepe) | 8 folhas de salsa | 2 folhas de alface;Descasque e corte as maçãs em tiras. Lave as folhas de alface e a salsa. Corte também o salmão em tiras (pequenos pedaços). | Coloque água quente num prato (que seja maior que a folha de arroz). Mergulhe então 1 folha de arroz por alguns segundos, o suficiente para amolecer. Retire e coloque a folha numa superfície uniforme (numa tábua por exemplo). | Como rechear: Em apenas uma extremidade, coloque por cima da folha, na seguinte ordem: alface, salsa, salmão e maçã. | Enrole a folha e não esqueça de dobrar as duas extremidades (direita e esquerda) sentido interior, para que o recheio não escape. | Repita a mesma operação nas outras folhas de arroz. Corte os rolos em duas partes. Bom apetite!!;Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/rolos-primavera-de-salmao-e-maca--457626p713608.webp
131;Sopa de alho poró francês, leite de coco e caril (curry);Entrada;Muito Fácil;40 min;449 Kcal;4;1 col. sopa de azeite | 1/2 cebola | 500 gr de alho francês (alho poró) | sal | pimenta | 1  col. sopa (bem cheia) de caril (curry) | 200 ml leite de coco (uma caixinha) | água;Corte o alho francês em rodelas e pique a cebola. Numa panela alta, aqueça o azeite e refogue esses dois ingredientes. | Ainda no fogo, junte o sal, pimenta e caril. Refogue ainda por alguns minutos. Junte o leite de coco. Misture. | Cubra com água e deixe cozinhado por 30 a 35 minutos. No final, triture tudo. | Está pronto. Na hora de servir, coloque o coentro e o amendoim por cima. Bom apetite!;Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/sopa-de-alho-poro-frances-leite-de-coco-e-caril-curry--457377p712727.webp
132;Ovo à la coque na air fryer;Entrada;Muito Fácil;6 min;308 Kcal;3.5;2 ovos | 2 fatias de pão grelhado (opcional) | 2 col. chá de manteiga (opcional);Coloque os ovos no cesto da Air fryer. | Deixe cozinhar a 180°C por 5 minutos. | Coloque os ovos numa tigela com água fria (para interromper o cozimento interno). | Enquanto isso, toste os pães, passe a manteiga e corte-os em tiras. Retire a tampinha do ovo. Está pronto!;Vegetariano | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/ovo-a-la-coque-na-air-fryer--467488p746141.webp
133;Foie gras curado no sal;Entrada;Muito Fácil;;391 Kcal;3.5;1 foie gras (grau A, ou seja, sem veia) | 1 col. chá de sal | 1 col. chá de pimenta | 1 col. chá de vinho branco | 750 gr de sal gordo (grosso | 250 gr de açúcar | 1 col. chá de tomilho;Tempere o foie gras com sal e pimenta e envelope-o com as 2 gazes, ligeiramente apertando para dar uma forma cilíndrica. | Verta/despeje o vinho branco aos poucos e massageando o foie gras. Verifique se ficou umedecido. | Numa tigela, misture o sal grosso, o açúcar e o tomilho. Despeje a metade numa travessa. Coloque o foie gras e recubra com o restante. Cubra com filme plástico e leve a geladeira por 36 horas. | Retire as gazes do fois gras e envelope no filme plástico. Coloque agora na forma de terrine (veja foto). Leve novamente a geladeira por 12 horas. | Está pronto!!;Sem glúten | Sem ovo;https://pt.petitchef.com/imgupl/recipe/foie-gras-curado-no-sal--458991p718343.webp
134;Folhados de queijo: uma receita super fácil e deliciosa;Entrada;Muito Fácil;30 min;645 Kcal;4;1 massa folhada retangular | 4 col. de sopa de queijo creme (tipo Philadelphia) | 100 g de queijo (emmental, comté ou outros) | sal | pimenta | 1 ovo (opcional);Pré-aqueça o forno a 180°C. Desenrole a massa folhada e corte-a em 4 retângulos. | Coloque cerca de 1 colher de sopa de queijo creme num canto de cada retângulo, deixando espaço na borda (iremos dobrar este retângulo). | Tempere com sal e pimenta. | Por cima do queijo creme, o queijo ralado. | Dobre ao meio e sele as bordas com um garfo. | Esta etapa é opcional: Pincele os folhados com ovo batido e faça ranhuras. | Asse por 20 minutos a 180°C. | Está pronto. Bom apetite!;Vegetariano | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/folhados-de-queijo-uma-receita-super-facil-e-deliciosa--469367p754053.webp
135;Queijo halloumi com mel grelhado na air fryer;Entrada;Muito Fácil;12 min;451 Kcal;3.33;200 g de queijo halloumi | 1 col. de sopa de mel | 1 col. de chá de ervas de Provence | azeite de oliva;Corte o queijo halloumi em fatias com aproximadamente 1 cm de espessura. | Absorva o máximo de líquido possível das fatias de halloumi usando papel toalha. | Coloque as fatias de halloumi no cesto da Air Fryer cpberta com papel vegetal. Pulverize o queijo com azeite de oliva e, em seguida, adicione o mel e as ervas de Provence. Cozinhe por 10 minutos a 200 graus no modo Air Fry, virando na metade do tempo. | Está pronto. Bom apetite!;Sem glúten | Vegetariano | Sem ovo;https://pt.petitchef.com/imgupl/recipe/queijo-halloumi-com-mel-grelhado-na-air-fryer--468611p750683.webp
136;Ovo cozido na air fryer;Entrada;Muito Fácil;11 min;73 Kcal;3.67;2 ovos;Coloque os ovos (na temperatura ambiente) no cesto da Air Fryer. | Programe a 200°C por 10 minutos. | Está pronto. Descasque com cuidado para não se queimar.;Sem glúten | Vegetariano | Sem lactose | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/ovo-cozido-na-air-fryer--467483p746116.webp
137;Bolinhos de abobrinha assados no forno!;Entrada;Muito Fácil;40 min;328 Kcal;3.67;500 gr (2 unidades) curgetes (abobrinha) | 50 gr parmesão ralado | 1 ovo | 35 gr pão ralado (farinha rosca) | 8 folhas hortelã | sal | pimenta | azeite;Lave e descasque as curgetes (abobrinhas). Em seguida, rale-as no ralador, dê preferência, deixe as tiras grossas. | Com o pano limpo, esprema-os para retirar o excesso de água. | Coloque a abobrinha ralada em uma tigela e acrescente o parmesão ralado, o ovo, o pão ralado (farinha de rosca) e a hortelã picada. Tempere com sal e pimenta. | Comece misturando com uma colher e termine com as mãos, até ficar homogêneo. | Hora de modelar com as mãos: o formato pode ser redondo ou comprido. Coloque-as na assadeira já forrada com papel vegetal (papel manteiga). Pincele com azeite e leve ao forno a 190° C por cerca de 20 minutos. Vire o lado e deixe ainda por mais 15 minutos. | Está pronto. Bom apetite!;Vegetariano | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/bolinhos-de-abobrinha-assados-no-forno--465380p738910.webp
138;Saganaki assado no forno, a receita grega de queijo feta bem crocante;Entrada;Muito Fácil;35 min;328 Kcal;3.67;4 folhas de massa filo ( ou massa brick) | 45 gr de manteiga derretida | 1/2 col. chá pimenta | 150 gr de queijo feta (1 bloco) | 2 col. chá sésamo (gergelim) | 4 col. chá mel;Pré-aqueça o forno a 200°C. Derreta a manteiga e misture com a pimenta. Pincele então as folhas. | Corte o queijo feta em 4 pedaços retangulares. Coloque 1 no centro de cada folha. | Dobre a folha para embrulhar o queijo feta. Após cada dobra, pincele a folha. | Coloque-os em uma forma já coberta com papel vegetal (papel manteiga). Polvilhe-os com sésamo (gergelim). | Leve ao forno por 20 minutos a 200°C. | Retire-os do forno e cubra-os ligeiramente com mel. Está pronto. Sirva-os com salada.;Vegetariano | Sem ovo;https://pt.petitchef.com/imgupl/recipe/saganaki-assado-no-forno-a-receita-grega-de-queijo-feta-bem-crocante--464124p735377.webp
139;Cesta de tortilha com salada (tortilla bowls);Entrada;Muito Fácil;23 min;390 Kcal;3.33;4 tortilhas de milho | 100 gr de espinafre | 130 gr de feijão (cozido) | 100 gr de tomates cerejas | 140 gr de milho (cozido) | 80 gr azeitona preta | 1 abacate | cebola frita (algumas) | 4 ramos de coentro | 4 col. sopa azeite | 1/2 limão siciliano;Pré-aqueça o forno a 180°C. (H)umedeça as tortilhas com um pouco de água (isso evita a quebra na hora de colocar na forma) e leve-as ao micro-ondas por uns 40 segundos em média. | Depois de amolecidas e flexíveis, coloque a primeira tortilha na forma. Encaixe-a bem dentro da forma pressionando com os dedos. Leve-a ao forno por 8 minutos. Retire e repita a operação nas demais. | Durante este tempo, corte os ingredientes da salada. | As tortilhas deverão estar frias antes de recheá-las. Nesta ordem e para cada tortilha, coloque: espinafre, feijão, tomate, milho, azeitona, abacate, cebola frita e coentro picado. | Por cima, azeite e sumo de limão. Bom apetite!;Vegetariano | Sem lactose | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/cesta-de-tortilha-com-salada-tortilla-bowls--461858p728889.webp
140;Salada de melancia e pepino;Entrada;Muito Fácil;15 min;1786 Kcal;3.33;1/2 melancia (pequena) | 1/2 pepino | 10 bolas de mozzarella fresca | sal | pimenta | endro | azeite;Corte a melancia em cubos. O pepino em rodelas. Faça pequenas marcas (se desejar). | Numa tigela, misture todos os ingredientes e tempere a gosto.;;https://pt.petitchef.com/imgupl/recipe/salada-de-melancia-e-pepino--459924p721865.webp
141;Rolinho primavera vegetariano - couve roxa e batata doce;Entrada;Muito Fácil;55 min;202 Kcal;3.67;4 folhas de arroz | 100 gr de batata doce | 1 col. sopa azeite | 1 col. chá de sal | 1 col. chá pimenta (do reino) | 1 col. chá curry (caril) | 50 gr de couve roxa (repolho roxo) | 50 gr de macarrão de arroz (bifum) | 1 alface | 1 cenoura | molho nuoc-mâm (ou outro de sua preferência);Descasque e corte a batata doce no formato de fritas. Misture-as com azeite, sal, pimenta e curry (caril). Leve ao forno para assar por 15 min a 210°C. Deixe esfriar. | Deixe o macarrão de arroz de molho numa tigela com água fervente por 4 minutos. Escorra, deixe esfriar e reserve. | Descasque e corte a cenoura em lamelas. Corte também a couve. Limpe as folhas de alface. | Mergulhe a folha de arroz numa tigela com água morna por 10 segundos (serve para amolecer). Coloque-a sobre uma tábua. Vamos rechear os rolos. | Montagem: Escolha um lado e coloque as cenouras, a batata doce e os fios da couve. Por cima o macarrão de arroz. Termine com a folha de alface (ou metade da folha, dependendo do tamanho). | Como enrolar: é o método do envelope. Enrole uma vez o suficiente para cobrir o recheio. Agora dobre as duas extremidades ao meio. Termine enrolando até o fim. | Sirva com o molho de sua preferência. Bom apetite!!;;https://pt.petitchef.com/imgupl/recipe/rolinho-primavera-vegetariano-couve-roxa-e-batata-doce--459078p718584.webp
142;Espargos/aspargos com molho de musselina;Entrada;Muito Fácil;35 min;940 Kcal;4;400 gr de espargos ( aspargos ) verdes | 2 ovos | 200 ml de azeite | 1 col. chá vinagre | 2 col. sopa de mostarda | sal | pimenta;Separe as claras das gemas. Lave e corte os pés dos espargos (veja foto). Ferva a água com sal numa panela grande. | Coloque os espargos na panela. Deixe cozer por cerca de 15 minutos. Eles deverão ficar macios. | Bata as claras em castelo (neve) e reserve. Num outro recipiente, bata as gemas com a mostarda. Junte aos poucos o azeite (sem deixar de bater). | Quando o azeite incorporar, junte o vinagre, o sal, a pimente e misture bem. Junte agora as claras em castelo e misture com uma espátula. Refrigere por 10 minutos. | Retire os espargos e coloque-os num prato e verta o creme anterior. Está pronto.;Sem glúten | Vegetariano | Sem lactose | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/espargosaspargos-com-molho-de-musselina--457768p714090.webp
143;Salada landaise, receita francesa;Entrada;Muito Fácil;20 min;2264 Kcal;3.67;mistura de alface (crespa, crespa roxa e americana) | 140 gr de milho | 2 tomates | 1 echalota (cebola roxa) | 40 gr de pinhões | 12 pontas de espargos ( aspargos ) | 90 gr magret de pato (peito do pato) defumado em fatias | 100 gr moela (de pato confit) | 4 medalhões de foie gras;Coloque os alfaces na tigela. Junte os tomates cortados em cubos e acrescente também o milho. | Junte a chalota/cebola roxa picada, as pontas de aspargos e os pinhões. | Coloque agora as fatias do magret de pato defumado (sem a gordura) e também a moela de pato confit. Tempere a gosto. | Misture a salada e coloque por cima os medalhões de foie gras. | Salada landaise está pronta !;;https://pt.petitchef.com/imgupl/recipe/salada-landaise-receita-francesa--454887p705828.webp
144;Mini tatins de foie gras;Entrada;Muito Fácil;25 min;347 Kcal;3.33;4 pedaços de foie gras | 4 fatias de pão de especiarias | 3 maçãs | 50 ml de rum | 10 g de açúcar | sal | pimenta | mistura de 4 especiarias (canela, pimenta, noz moscada, cravo da índia);Use as formas quadradas para cortar quadrados de pão de especiarias. | Disponha o foie gras por cima e leve ao frigorífico/geladeira. | Lavar, descascar e cortar as maçãs em pedacinhos. Derreter manteiga numa frigideira e refogar as maçãs. Temperar com sal, pimenta e a mistura de especiarias. | Juntar o açúcar e misturar. Juntar o rum e flambar o todo. Deixar a fogo/lume baixo até que as maçãs caramelizem. | Deixe arrefecer e depois coloque sobre o foie gras nas formas individuais. Levar ao frigorífico/geladeira por no mínimo 4 horas. | Desmoldar e servir =);;https://pt.petitchef.com/imgupl/recipe/mini-tatins-de-foie-gras--451712p699146.webp
145;Tortelloni di bresaola recheado com rúcula e queijo ricota: saboroso e pronto em 10 minutos!;Entrada;Muito Fácil;Tortelloni di bresaola recheado com rúcula e queijo ricota: saboroso e pronto em 10 minutos!;245 Kcal;4;250 g de ricota | 120 g de bresaola (carne seca italiana) | 15 g de queijo parmesão ralado | 20 g de rúcula | 1 limão | sal a gosto | pimenta do reino a gosto | lascas de parmesão q.b. (opcional) | azeite de oliva a gosto;Despeje o queijo ricota em uma tigela grande e mexa-o com um garfo até ficar macio e cremoso. | Acrescente o queijo parmesão ralado, um pouco de suco de limão (sem exagero), uma pitada de sal, uma pitada de pimenta e algumas raspas de limão. Misture bem para amalgamar todos os ingredientes. | Lave a rúcula em água corrente, seque-a cuidadosamente e pique-a finamente. Adicione-a à mistura de ricota e mexa novamente. | Coloque uma fatia de bresaola em uma superfície de trabalho e coloque uma colher de chá da mistura preparada no centro. | Dobre a fatia em formato de meia-lua, pressionando levemente as bordas para selar bem o recheio. | Dobre as duas pontas em direção ao centro e pressione-as suavemente para moldar o tortellone. Repita o processo até que todos os ingredientes sejam usados. | Disponha os tortelloni em um prato de servir e complete com algumas folhas frescas de rúcula, raspas de limão, lascas de parmesão e um fio de azeite de oliva extra virgem. Bom apetite.;;https://pt.petitchef.com/imgupl/recipe/tortelloni-di-bresaola-recheado-com-rucula-e-queijo-ricota-saboroso-e-pronto-em-10-minutos--484430p820090.webp
146;Cruffins salgados, a combinação do croissant e do muffin, sabor queijo;Entrada;Muito Fácil;35 min;461 Kcal;4;240 gr (1 caixa) de massa de croissant | 30 g de manteiga (pomada) | 1/2 dente de alho | 1 col. de chá de salsinha picada | 1/2 col. de chá de pimenta | 2 col. de sopa de queijo parmesão | 2 col. de sopa de queijo mussarela ralado;Numa tigela, misture a manteiga, o dente de alho amassado, a salsinha e a pimenta. | Desenrole a massa de croissant e achate-a com um rolo de massa, se necessário. Espalhe a mistura anterior em toda a superfície da massa. | Corte ao meio no sentido transversal e enrole os dois pedaços em formato de rolinho. Em seguida, corte os rolos ao meio para formar quatro unidades. | Corte agora os 4 rolinhos, ao meio, no sentido comprimento (vão ficar apenas mais finos e fáceis para enrolar). | Enrole a primeira dupla em um ramequim untado e cubra com aproximadamente 1/2 colher de sopa de parmesão e 1/2 colher de sopa de mussarela ralada. *Você pode ajustar essas quantidades de acordo com seu gosto! | Faça o mesmo com os demais rolos. | Asse os cruffins em um forno pré-aquecido a 180°C por 20 minutos. *Ajustamos o forno para aquecimento por convecção, mas você também pode usar a convecção natural. | Vire com cuidado e está pronto! Cruffins adoráveis, quentes e reconfortantes esperam por você :-).;Vegetariano;https://pt.petitchef.com/imgupl/recipe/cruffins-salgados-a-combinacao-do-croissant-e-do-muffin-sabor-queijo--483170p813696.webp
147;Bolinhos de abóbora na air fryer;Entrada;Muito Fácil;30 min;342 Kcal;3.5;400 gr de abóbora (limpa) | 1 ovo | 80 g de parmesão ralado | 100 gr de pão ralado (farinha de rosca) | 1 col. de chá de alecrim seco | 1 col. de chá de noz-moscada | sal | azeite;Descasque, limpe a abóbora e corte-a em cubos. | Coloque os pedaços de abóbora no cesto da Air Fryer e borrife com um pouco de spray de azeite. Cozinhe por 15 minutos a 180°C (modo air fry), mexendo a cada 5 minutos. | Depois de cozida, coloque a abóbora em uma tigela e amasse-a com um garfo. Em seguida, adicione o ovo, o sal, a noz-moscada, o alecrim seco e o pão ralado (farinha de rosca). | Misture com um garfo até ficar homogêneo. | Forme bolinhas do mesmo tamanho para um cozimento uniforme. | Coloque os bolinhos de abóbora no cesto da Air Fryer. Pulverize a superfície com azeite. | Asse-os por 10 minutos no modo air fry a 190°C, virando na metade do tempo. | Os bolinhos de abóbora estão prontas. Bom apetite!;Vegetariano | Sem açúcar;https://pt.petitchef.com/imgupl/recipe/bolinhos-de-abobora-na-air-fryer--469397p754172.webp
148;Polenta assada com queijo e salame;Entrada;Muito Fácil;40 min;332 Kcal;4;300 gr de polenta instantânea | 200 gr queijo (usamos scamorza) | 60 gr salame (ou outro embutido) | sal | pimenta | água | azeite;Prepare a polenta conforme instrução da embalagem. (Geralmente, 1 medida de polenta para 4 medidas de água). Tempere com sal. É importante deixar uma consistência bastante firme. | Depois de pronto, despeje numa forma coberta com papel manteiga e faça uma camada com cerca de 2 centímetros de polenta. Deixe esfriar completamente. | Corte a polenta com o cortador ou copo, se desejar no formato redondo. Para o formato quadrado ou retangular, use a faca. | Coloque todos numa assadeira forrada com papel manteiga. Pincele ligeiramente com óleo. Por cima, queijo e salame (ou outro embutido). | Leve ao forno pré-aquecido por 10 minutos a 200°C. | Está pronto!;Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/polenta-assada-com-queijo-e-salame--467687p746920.webp
149;Salada refrescante de melancia, feta, abacate e pepino (kate middleton);Entrada;Muito Fácil;10 min;449 Kcal;4;1/2 melancia (tamanho pequeno ou 1/4 de uma grande) | 1 abacate | 100gr de queijo feta | 1/2 pepino | hortelã (algumas folhas) | 2 col. sopa azeite | 1 col. sopa vinagre balsâmico | sumo de 1/2 limão verde;Corte a melancia, o queijo feta, o pepino e o abacate em cubos. | Coloque-os numa tigela. Acrescente a hortelã picada e misture delicadamente. | Tempere com azeite, vinagre e sumo de limão. Bom apetite.;Sem glúten | Vegetariano | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/salada-refrescante-de-melancia-feta-abacate-e-pepino-kate-middleton--463848p734520.webp
150;Pepino recheado de arroz, salmão, abacate e hortelã;Entrada;Muito Fácil;20 min;88 Kcal;4;40 gr de arroz | 1 pepino | 1/2 abacate | 1 fatia de salmão fumado (ou truta) | hortelã | sésamo (gergelim) | cebolas fritas;Cozinhe o arroz conforme a embalagem. Deixe arrefecer (esfriar) ou após cozido, passe água fria e escorra. | Corte o pepino em dois. Raspe o miolo e corte-o em pedacinhos. Hora de rechear: coloque um pouco de arroz, o miolo do pepino e por cima, o salmão. | Finalize com cebolas fritas, sésamo (gergelim) e hortelã picada. Está pronto!;Sem glúten | Sem lactose | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/pepino-recheado-de-arroz-salmao-abacate-e-hortela--463005p732974.webp
151;Tosta de ricota, abóbora e ovo;Entrada;Muito Fácil;40 min;771 Kcal;4;100 gr de abóbora | 3 col. sopa de ricota | 2 fatias de pão | sal | pimenta | azeite | alecrim desidratado;Descasque e corte a abóbora em cubos. Cozinhe a vapor cerca de 20 minutos. Em seguida, refogue com azeite por alguns minutos na frigideira. Tempere com sal, pimenta e alecrim a gosto. | Assim que dourar, reserve a abóbora. Torre as duas fatias de pão e barre/passe a ricota. Por cima, as abóboras. | Se desejar, acrescente também um ovo pochê. Está pronto!!;Vegetariano | Sem açúcar | Sem ovo;https://pt.petitchef.com/imgupl/recipe/tosta-de-ricota-abobora-e-ovo--460577p723887.webp
152;Rolinho primavera - carne marinada;Entrada;Muito Fácil;2 h 30 m;449 Kcal;4;4 folhas de arroz | 100 gr de carne | 1 col. sopa molho de soja | 1 col. sopa óleo de sésamo (gergelim) | 1 col. chá gergelim (sésamo) | 1 col. chá mel | 1 col. chá gengibre (fresco ou ralado) | 50 gr de macarrão de arroz (bifum) | 1 alface | 1 cenoura | molho nuoc-mâm (ou outro de sua preferência);Corte a carne em tiras. Numa tigela, misture o molho de soja, o óleo de sésamo, as sementes de sésamo, o mel, gengibre e a carne. Cubra com filme plástico e deixe marinar na geladeira (frigorífico) por 2 horas. | Retire. Refogue a carne por 5 minutos numa frigideira quente. Deixe esfriar. | Prepare o macarrão: deixe-o de molho numa tigela com água fervente durante 4 minutos. Escorra. Deixe esfriar e reserve-o. | Limpe a cenoura e corte-a em lamelas. Lave também as folhas de alface. Amoleça a folha de arroz num recipiente com água morna por 10 segundos (uma de cada vez). | Montagem: Coloque a folha de arroz numa tábua. Escolha um dos lados e recheie com a carne, cenoura, o macarrão de arroz e por último a folha de alface. | Dobre no formato envelope: Enrole uma vez, o suficiente para cobrir o recheio, dobre os dois lados (esquerdo e direito) sentido centro e continue enrolando até o final. | Está pronto. Sirva com o molho de sua preferência!;Sem ovo;https://pt.petitchef.com/imgupl/recipe/rolinho-primavera-carne-marinada--459079p718589.webp
153;Croquetes de presunto serrano na air fryer;Entrada;Muito Fácil;1 h 5 m;106 Kcal;4;90 gr de presunto serrano (cru) | 90 gr de manteiga | 90 gr de farinha trigo | 500 ml de leite | 1 ovo | pão ralado (farinha rosca) | sal | noz moscada | pimenta branca;Molho bechamel: Ferva o leite numa panela. Enquanto isso, numa outra panela, derreta a manteiga. Assim que a manteiga derreter, coloque a farinha e misture bem (cerca de 2 minutos). | Aos poucos, acrescente o leite fervido na preparação, sempre mexendo para evitar grumos. Tempere com sal, pimenta e noz moscada. | Quando estiver homogêneo, acrescente o presunto picado finamente. Misture bem e deixe cozinhar por mais 3 minutos ou até que se desgrude da panela. | Numa forma de vidro untada, coloque a mistura anterior. Tampe ou cubra com filme plástico. Deixe esfriar e leve ao frio (geladeira) por 1 hora ou até que fique firme. | Forme os croquetes. | Empane-os com o pão ralado (farinha de rosca). | Em seguida, passe-os no ovo batido com um pouquinho de leite. Empane-os novamente com pão ralado (farinha de rosca). | Leve ao frio (geladeira) todos os croquetes, por 30 minutos. | Unte ligeiramente o cesto da Air Fryer, com pincel, por exemplo. Coloque os croquetes, mantendo a distância, um sobre o outro. | Programe 200 °C em 8 minutos. Passado este tempo, vire o lado e programe novamente por 3 minutos. | Está pronto. Bom apetite!;Sem açúcar;https://pt.petitchef.com/imgupl/recipe/croquetes-de-presunto-serrano-na-air-fryer--467499p746191.webp
