titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios
Tabule de couve-flor;Entrada;Muito Fácil;20 min;152 Kcal;4.27;1 couve -flor (cru) | 2 tomates | 1 pepino | 180 gr de azeitonas pretas (1 lata) | hortelã (algumas folhas) | 2 col. sopa de azeite de oliva | sumo de 1/2 limão;Corte o couve-flor em pequenos pedaços e triture-os delicadamente no mixer (não triture por muito tempo, senão formará uma massa). | Coloque o couve-flor na saladeira. Corte os tomates e o pepino em cubos. Corte as azeitonas em rodelas. Misture. Junte as folhas de hortelã picadas. | Coloque também o azeite e o sumo do limão. Misture bem. Está pronto!!;Sem glúten | Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
Lulas fritas;Entrada;Muito Fácil;35 min;347 Kcal;4.3;1 kg de lulas cortadas em rodelas (frescas ou congeladas) | 1 ovo | 1 col. chá bicarbonato sódio (alimentar) | 300 ml água com gás | 175 gr de farinha de trigo | 1 pitada de colorante em pó (opcional) | 4 col. sopa conhaque | sal | óleo para fritar | sal;Numa tigela, bata os ovos e acrescente a água com gás, a farinha, o bicarbonato, o colorante e o conhaque. Misture bem com a vara de arames (fouet) para deixar a massa homogênea e sem pelotas. Cubra com filme plástico e leve ao frio (geladeira) por no mínimo 5 horas. | Passado esse tempo, misture novamente a massa. Lave as lulas e corte-as em rodelas. Coloque-as por cima de uma travessa já forrada com papel toalha para absorver o excesso de água. | Enfarinhe as lulas. Mergulhe 1 de cada vez na mistura da farinha e leve-as para fritar no óleo quente (cerca de 180°C). | Tempo médio da fritura é de 5 minutos ou até ficar bem douradas. Retire-as do óleo e coloque sobre um papel toalha para absorver o excesso de óleo. Tempere com sal a gosto. | Está pronto. Sirva com um pouco de salsa e limão.;
Salada asiática (bifum, camarões, abacate, ovo e coentro);Entrada;Muito Fácil;19 min;758 Kcal;4.9;2 ninhos de bifum (ou cabelo de anjo) | 1 abacate (pequeno) | 20 camarões cozidos (em média) | 2 ovos | coentro (a gosto) | sésamo (gergelim);Cozinhe os dois ovos numa panela com água quente por 10 minutos. Retire-os. Numa tigela, coloque os ninhos de macarrão e cubra com água quente. Tampe e deixe-os por 4 a 5 minutos. | Enquanto isso, corte o abacate em pedaços. Limpe os camarões. Descasque os ovos e corte-os também. | Num copo, misture todos os ingredientes do molho. Numa outra tigela, misture os pedaços de abacate com os camarões e ovos. Acrescente o coentro picado, algumas sementes de sésamo (gergelim). Despeje/verta o molho e misture. Retifique o tempero se precisar. | Acrescente o macarrão escorrido. Misture tudo e leve ao frio (geladeira) até a hora de servir. Bom apetite!;Sem açúcar | Vegan
Sopa de alface com salada de grão de bico;Entrada;Muito Fácil;15 min;258 Kcal;4.6;200 gr grão de bico (já cozido) | 1 maço (pequeno) de cebolinha | 1 tomate | 1/2 pimento verde (pimentão) | ¼ pepino | 1/2 cebola | 200 ml caldo de verduras | 1 alface romana | sal | pimenta | 1 col. chá vinagre (usamos o xerez) | azeite | 1 col. chá de manteiga | gotas de limão;Corte em quadrados, o tomate, pepino e o pimentão. Pique a cebolinha. | Coloque-os numa tigela juntamente com os grãos de bico. Tempere com sal, pimenta, azeite e vinagre. Misture e reserve. | Numa panela, refogue a cebola com um pouco de azeite. Acrescente o caldo e deixe cozinhando no fogo médio por cerca de 10 minutos. Acrescente o alface rasgado. Deixe ainda por cerca de 2 minutos. (não é aconselhável deixar por mais tempo cozinhando para não perder a clorofila. É ela que deixa a cor mais bonita). Acrescente a manteiga. Retire do fogo. Deixe esfriar/arrefecer. | Bata agora no liquidificador. Note: se colocar todo o caldo, a sopa ficará mais líquida. Fica então a vosso critério a quantidade do caldo. Peneire então a sopa que ficará com uma textura mais fina. Tempere com sal, pimenta e gotas de limão. | Hora de montar o prato: verta/despeje num prato fundo. Acrescente no meio a salada de grão de bico. Se preferir, um fio de azeite por cima. | Está pronto!;Sem glúten | Sem açúcar | Sem ovo
Sopa fria de pepino e hortelã;Entrada;Muito Fácil;10 min;73 Kcal;4.4;1 pepino | 200 gr de iogurte natural | 8 folhas de hortelã (ou menta) | 1/2 dente de alho | 1 col. chá de sumo de limão | sal | pimenta;Descasque o pepino e corte-o em pedaços grandes. Coloque-o no copo do liquidificador. | Acrescente também os demais ingredientes. Bata até ficar homogêneo. | Agora é só servir. Decore com folhas de hortelã e um fio de azeite. Bom apetite!;Vegan | Sem glúten | Vegetariano | Sem açúcar | Sem ovo
Salada de melão colorida;Entrada;Muito Fácil;15 min;1351 Kcal;4.67;1 melão cantaloupe | 1 pedaço de melancia | 6 bolas de mozzarella fresca | 1/3 pepino | 6 tomates cereja | 2 fatias de presunto serrano (presunto cru) | manjericão fresco | sal | pimenta | azeite;Corte o melão ao meio. Retire as sementes e fibras. Com a ajuda da colher parisiense, faça bolas do melão.(veja foto). Reserve as cascas. | Faça também as bolas da melancia (cerca de 8 unidades). Corte o pepino em pequenos pedaços, o tomate cereja em dois, o presunto em tiras e pique o manjericão. | Em uma tigela, coloque as bolas de melão, tomates, pepino, mozzarella, melancia, presunto, manjericão, sal, pimenta e azeite. Misture. | Agora é só verter/despejar a mistura nas metades do melão reservadas que servirão como tigela. Está pronto!;Sem glúten | Sem açúcar | Sem ovo
Cogumelos recheados com ovos de codorna (codorniz);Entrada;Muito Fácil;30 min;29 Kcal;4.33;12 grandes cogumelos de Paris | 12 ovos de codorniz (codorna) | sal | pimenta | ervas aromáticas;Limpe os cogumelos e retire seus pés para termos um buraco (pois iremos recheá-lo). | Quebre o ovo e coloque-o então dentro do buraco do cogumelo. | Tempere com sal, pimenta e ervas aromáticas que desejar. | Leve ao forno por 15 minutos a 180°C (ou até que as claras estejam cozidas). Fácil, não?;Sem glúten | Vegetariano | Sem lactose | Sem açúcar | Vegan
Coleslaw (a salada americana de repolho e cenoura);Entrada;Muito Fácil;30 min;230 Kcal;4.67;1/4 de repolho branco | 2 cenouras | 100 gr de maionese (ou iogurte) | 25 gr de açúcar | 25 ml de vinagre (de cidra, maçã ou arroz) | sal | pimenta;Corte 1/4 do repolho em tiras finas. | Rale as 2 cenouras e misture-as ao repolho dentro da tigela de salada. | Numa outra tigela menor, misture bem a maionese com o açúcar, vinagre, sal e pimenta. | Verta/despeje agora este molho nos legumes e misture bem. | Simples, não acha? Sua salada está pronta!!;Sem glúten | Vegetariano | Sem lactose
Folhado de cogumelo e espinafre;Entrada;Muito Fácil;3 h 10 m;871 Kcal;4.75;1 col. chá manteiga | azeite | 1 chalota (ou cebola pequena) | 250 gr de cogumelos de Paris | 50 gr espinafre (fresco ou congelado) | 200 ml creme vegetal (usamos o de soja) | sal | pimenta | alecrim | 1 pitada noz moscada | 2 massas folhadas | 1 ovo;Numa frigideira grande, derreta a manteiga com o fio de azeite. Acrescente os cogumelos picados e deixe refogar entre 5 a 10 minutos. Tempere com sal, pimenta, alecrim e noz moscada. | Acrescente o espinafre e deixe refogando até ficar macio. Junte o creme e deixe reduzir por cerca de 10 minutos. Retire e deixe esfriar/arrefecer. Leve ao frio (geladeira) por 2 horas. | Corte a massa folhada em círculos com a ajudada de uma tigela (o tamanho que desejar). Deixe a borda livre. Comece colocando o recheio da extremidade até a metade. | Feche cada folhado, ou seja, coloque a parte não recheada sobre a recheada. Pressione as bordas com firmeza e dobre-as para baixo para selar o revestimento. Coloque então os folhados numa assadeira já coberta com papel manteiga (papel vegetal). | Com a ajuda de um faca, faça o desenho por cima. Pincele com ovo batido. Leve ao forno por 20 a 25 minutos a 180°C. | Está pronto!;Vegan | Vegetariano | Sem açúcar
Pudim de atum (mini flans);Entrada;Muito Fácil;40 min;274 Kcal;4.88;3 ovos | 200 ml natas (creme de leite) | 200 ml leite meio gordo (semi desnatado) | 1 col. sopa maizena (amido de milho) | 1 lata de atum | sal | pimenta | salsa picada;Numa tigela, bata os ovos com a varinha de arames (fouet) junto com os 150 ml natas (creme de leite) e o leite meio gordo. | Com os outros 50 ml de nata, dilua a maizena. Acrescente na tigela dos ovos. Junte o atum (escorrido). Tempere com sal e pimenta. | Coloque a mistura nas mini formas (ramequins). Leve ao forno por 30 minutos a 180°C. Quando servir, polvilhe com salsa picada. Está pronto!;Sem glúten | Sem açúcar
Salada de lentilhas com queijo coalho;Entrada;Muito Fácil;30 min;348 Kcal;4.62;80 gr de lentilhas verdes | 250 ml água fria | 1/2 cebola roxa | 1/4 pimentão amarelo (opcional) | 150 gr de tomates cerejas | salsa | queijo coalhado (usamos o feta) | sal | pimenta | azeite;Numa panela, cubra as lentilhas com água fria. Tampe e deixe cozinhar no fogo médio por 20 minutos (ou conforme indicação da embalagem). Peneire e deixe arrefecer/esfriar. Reserve. | Pique a cebola e a salsa. Corte os tomates, o pimentão e o queijo. Coloque tudo numa tigela. | Tempere com sal e pimenta. Coloque o azeite e misture. Está pronto!;Vegan | Sem glúten | Vegetariano | Sem açúcar | Sem ovo
Salada de feijão fava;Entrada;Muito Fácil;55 min;385 Kcal;4.38;1 kg de feijão fava | 100 gr de bacon defumado | 1 chalota | 50 gr de nozes (ou mistura de grãos) | 1 colher sopa de azeite de oliva | 1 colher sopa óleo (de nozes) | 1 colher sopa de vinagre de vinho tinto | 1 colher chá de mostarda | sal | pimenta;Abra as favas e recupere os grãos de feijão. Se suas favas estiverem congeladas, descongele-as antes de descascar... | Lave-os e em seguida, coloque-os para cozinhar em água fervente por 10 minutos. Escorra e deixe esfriar. | Refogue o bacon e deixe esfriar. Corte a chalota em pequenos pedaços. Quando o bacon e o feijão esfriarem, acrescente a mistura de grãos e mexa. | O vinagrete: misture o azeite, o óleo de nozes, o vinagre, o sal, a pimenta e a mostarda. | Despeje o vinagrete na salada e misture bem. | Sua salada está pronta.;Vegan | Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Mousse de beterraba: uma entrada saudável e fácil a preparar;Entrada;Muito Fácil;15 min;272 Kcal;4.71;500 gr de beterraba (cozida) | 200 gr de queijo fresco (natas/creme leite/requeijão) | 1 col. sopa azeite | 1 cebola (pequena) | cebolinha | salsa;No mixer, bata a cebola, a salsa, a cebolinha e o azeite. | Junte as beterrabas cortadas em cubinhos, o queijo fresco (requeijão) e bata até ficar homogêneo. | Coloque nos copinhos e polvilhe com a cebolinha picadinha. Já pode servir;Sem glúten | Sem açúcar | Sem ovo
Bruschetta de pesto, tomate cereja e mozzarella;Entrada;Muito Fácil;14 min;334 Kcal;4.43;2 fatias pão (usamos pão de forma) | 9 tomates cerejas | 1 bola mozzarella | molho pesto | 1 pitada de alecrim;Barre/passe o molho pesto sobre uma lado de cada fatia. | Por cima, distribua os tomates cerejas cortados ao meio. | E então o queijo cortado em rodelas. Leve ao forno por 4 minutos na função grill | Retire. Polvilhe com alecrim. Está pronto!;Vegan | Vegetariano | Sem açúcar
Alcachofras assadas no forno;Entrada;Médio;1 h 15 m;585 Kcal;4.14;2 alcachofras | 1/2 limão | 50 ml azeite | 1 dente de alho | ervas aromáticas | sal | pimenta | 2 col. sopa de queijo ralado (parmesão) | 1 col. sopa de pão ralado (farinha de rosca);Corte a base das alcachofras e também a parte alta (cerca de 3 cm). | Com a ajuda da tesoura, corte as pontas de todas as folhas. E então, abra delicadamente as folhas do centro (precisamos deixar espaço entre as folhas para colocar o tempero). | Em seguida, com ajuda de uma faca e de uma colher, retire o miolo das alcachofras. Despeje então o sumo/suco de limão neste centro para evitar que escureça. | Coze/cozinhe as alcachofas na panela de pressão ou na panela com água fervente durante 15 minutos. Ao terminar, coloque-as sobre a travessa já forrada com papel vegetal/manteiga. Reserve. Pré-aqueça seu forno a 180°C. | Numa tigela pequena, misture o azeite, o sal, a pimenta, as ervas aromáticas e o dente de alho amassado. | Verta/despeje esse tempero no centro e entre as folhas das alcachofras. | Finalize polvilhando com parmesão e pão ralado (farinha de rosca). | Leve ao forno por 15 minutos a 180°C. | Está pronto. É só servir!!;Vegetariano | Sem açúcar | Sem ovo
Ovos mimosa, sabor páprica (colorau);Entrada;Muito Fácil;25 min;201 Kcal;4.57;8 ovos | 3 col. sopa de maionese | páprica (colorau a gosto);Cozinhe os ovos em água fervente durante 10 minutos. Deixe-os arrefecer (esfriar), retire as cascas e corte os ovos em 2 (sentido vertical). Retire agora todas as gemas dos ovos e coloque-as numa tigela. | Junte a maionese e com a ajuda de um garfo, esmague bem as gemas. Junte a páprica/colorau e misture novamente. | Com a ajuda de um saco confeiteiro, recheie as metades das claras. Por último, polvilhe com um pouco de páprica. Sua receita já está pronta! Simples, não acha?;Vegan | Sem glúten | Vegetariano | Sem lactose | Sem açúcar
Salada de pepino com batata a murro;Entrada;Muito Fácil;50 min;387 Kcal;4.5;500 gr batata | azeite | sal | pimenta | páprica (opcional) | tomilho (opcional) | 1 pepino | 200 gr de iogurte grego | 1 chalote (ou cebola pequena) | 1/2 limão verde (faça o sumo) | cebolinha fresca | endro (aneto) fresco;Cozinhe as batatas na água fervente e salgada por 20 minutos ou até ficarem macias. | Escorra e coloque as batatas no cesto da Air Fryer já coberto com papel manteiga. Amasse-as com o fundo de um copo. | Por cima, um fio de azeite e tempere a gosto. Colocamos sal, pimenta, páprica e tomilho. Programe por 20 minutos a 180°C, virando o lado na metade do cozimento. | Enquanto isso, corte o pepino em cubos. A chalota ,aneto e cebolinhas picadinhos. Coloque-os na saladeira. | Adicione o iogurte grego. Tempere com sal, pimenta e misture. | Por último, acrescente as batatas amassadas. | Está pronto. Bom apetite!;
Folhados de espargos (aspargos), queijo e presunto!;Entrada;Muito Fácil;45 min;335 Kcal;4.83;1 massa folhada retangular | 6 fatias de presunto cru (serrano/parma) | 80 gr de queijo mozzarella ralado | 1 ovo | 1 maço de espargos ( aspargos ) verdes | 1 col. sopa azeite | sal | pimenta;Lave e prepare os espargos cortando ou ralando a parte dura. Corte-os ao meio caso sejam grandes. | Coloque os espargos num prato e regue com azeite. Tempere com sal e pimenta. Misture. | Corte a massa folhada em 6 retângulos. Dobre as fatias de presunto ao meio. | Por cima de cada retângulo, coloque então o presunto, os espargos na diagonal e por cima, o queijo ralado. | Dobre as 2 diagonais e pincele com ovo batido. | Leve ao forno por 25 minutos a 180°C. | Está pronto!;Sem açúcar
Salmão gravlax;Entrada;Muito Fácil;10 min;196 Kcal;4.5;150 gr de salmão (1 pavê) | 70 gr de açúcar | 70 gr de sal | 1 pitada de pimenta (opcional) | 5 gr de endro | 1 col. sopa de grãos de pimenta rosa | sumo de limão (opcional);Triture os grão da pimenta rosa até viraram pó e coloque-o numa tigela juntamente com o açúcar, sal e endro. | Verta/despeje metade deste pó numa travessa. Por cima o salmão (sem pele, nem espinha). Coloque o restante do pó por cima. Cubra com filme plástico e leve a geladeira por 24 horas. | Retire a água que se formou e coloque novamente na geladeira por 24 horas | Enxague o salmão para retirar o excesso do tempero. | Corte o salmão em finas fatias e coloque na travessa de servir. | Polvilhe com pimenta rosa, pimenta do reino e endro. Por cima, o sumo do limão. Bom apetite!!;Sem glúten | Sem lactose | Sem ovo
Creme de couve flor, coco et salmão fumado (defumado);Entrada;Muito Fácil;45 min;272 Kcal;4.33;1/2 couve -flor | 400 ml leite de coco | 2 fatias de salmão fumado (defumado) | sésamo (gergelim);Lave bem o couve flor e corte-o em pequenos pedaços. Coloque-o numa panela junto com o leite de coco e deixe cozer por 35 minutos no fogo médio. | Quando tiver pronto, triture este creme com a ajuda de um mixer (varinha mágica). | Verta/despeje no prato de servir e por cima, coloque pequenos pedaços de salmão e termine polvilhando com sésamo (gergelim). Bom apetite!;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Bretzels / pretzels / bresel / brezel;Entrada;Médio;40 min;374 Kcal;4.17;250 gr de farinha de trigo | 10 gr de fermento biológico fresco | 20 gr de açúcar | 1 colher chá de sal | 40 gr de manteiga derretida | 60 ml de leite | 60 ml d'e água;Na batedeira para pães. Coloque na vasilha a farinha, o açúcar, o fermento esfarelado, a manteiga deterrida, o leito e a água. Bata até formar uma massa homogenia e uniforme. | Deixe a massa crescer num ambiente quente entre 1-2 horas. Retire o gás da massa e bata novamente por alguns segundos para deixá-la mais macia. | Corte em pedaços de 100 gr. | Enrole cada pedaço e faça um semi círculo de aproximadamente 40 cm. Não precisa enfarinhar. | Junte as duas bordas ao centro. Cruze-as duas vezes e cole-as na base do pretzels apertando ligeiramente (veja vídeo). | A fervura : Ferve a água com sal e bicarbonato de sódio. Mergulhe os pretzels um a um, deixando-os máximo 30 segundos. Atenção, não deixe por muito tempo no fogo, pois os pretzels podem se desfazer. | Coloque os pretzels diretamente em um forma untada. Pincele com ovo batido e polvilhe com sal e grãos de papoula. | Cozer 15 minutes à 200°C. Eles devem ficar bem dourados. | Os pretzels estão prontinhos.;Vegetariano
Rocambole de salmão recheado com ricota e pistache;Entrada;Muito Fácil;2 h 15 m;291 Kcal;4.8;300 g de salmão defumado (8 fatias) | 40 gr de pistaches (sem casca) | cebolinha | 230 g de ricotta | 1 limão siciliano | sal | pimenta;Descasque todo o limão, retire a parte branca (interior) e deixe-o em pequenos pedaços. | Numa tigela, coloque os pedacinhos de limão, a ricota, os pistaches picados (guarde alguns para decoração final) e a cebolinha também picada. Tempere com sal e pimenta. Misture bem até formar um creme liso. | Abra e coloque o filme plástico sobre a superfície de trabalho. Em seguida, ponha as 4 primeiras fatias de salmão por cima, sobrepondo-as levemente e adicione as outras quatro fatias (o formato final deverá ser um retângulo). | Espalhe o creme de ricotta por cima, deixando 1 cm de borda (sem o creme). | Enrole o salmão começando pelo lado da borda vazia, tentando apertar um pouco à medida que avança. Quando o rolo estiver pronto, envolva-o com o filme plástico. Deixe descansar no frio (geladeira) por pelo menos duas horas. | Passado este tempo, retire o salmão do filme plástico. Corte as duas extremidades com a ajuda de uma faca bem afiada. Coloque o salmão na travessa de servir. Polvilhe por cima o restante dos pistaches. Está pronto!;
Verrines de abacate, camarão e toranja, bem fresquinhas!;Entrada;Muito Fácil;15 min;307 Kcal;4.8;3 abacates | 15 a 20 camarões (cozidos) | 1 toranja | 1 limão (siciliano) | 2 col. sopa azeite | sal | páprica;Prepare a toranja: corte a base e o topo. Descasque e recupere a polpa (sem a parte branca). Corte-a em pequenos pedaços e reserve. Esprema o que sobrou da toranja para extrair o suco. | Descasque os camarões e corte-os em pedaços pequenos. Numa tigela grande, misture os camarões, a toranja (e seu suco caso tenha recuperado) o azeite, o sumo de 1/2 limão, a páprica e o sal. Leve ao frio (geladeira). | Corte o abacate ao meio. Retire a semente e recupere a polpa. Misture-o com a outra metade do sumo de limão e sal. | Montagem: Em cada copo, coloque algumas colheres do abacate e por cima a mistura dos camarões/toranja. Deixe-os no frio (geladeira) até a hora de servi-los. Bom apetite!;
Nems de camarão e cogumelos;Entrada;Muito Fácil;50 min;96 Kcal;4.2;8 folhas de arroz | 400 gr de camarões frescos (cozidos) | 20 gr de bifum (macarrão fino de arroz) | 15 gr de cogumelo s pretos (desidratados) | 1/2 cenoura (50 gr) | 1/2 cebola | 1 ovo | 1 col. sopa molho soja (shoyu) | óleo vegetal (para fritura);Hidrate os cogumelos secos na água morna por 25 minutos. Durante este tempo, limpe os camarões (reserve 8 camarões limpos). | Rale a cenoura e pique a cebola. Deixe de molho o bifum na água fervente por 4 minutos. Escorra e deixe arrefecer (esfriar). Corte os camarões, os cogumelos e o bifum em pequenos pedaços. | Recheio: numa tigela misture os pedaços de camarão, bifum, cogumelos, cenoura e cebola. Acrescente o ovo (cru) e o molho shoyu. Mexa. | Mergulhe 1 folha de arroz num recipiente (tipo prato) com água fria para amolecer. Retire e coloque a folha num plano de trabalho (tábua de madeira por exemplo). Coloque o recheio (cerca de 1 col. grande de sopa) no centro da borda (veja foto). Por cima, 1 camarão inteiro (da reserva). | Dobre como envelope: primeiro a parte baixa da folha sobre o recheio. Em seguida, as duas laterais vão ao centro. Por último enrole tudo. Repita a operação para os outros nems. | Aqueça o óleo de fritura 170-180°C. Quando estiver quente, frite os nems por cerca de 6 minutos virando os lados (se precisar). Retire-os e deixe sobre o papel toalha (para absorver o excesso de gordura). | Está pronto!;Sem açúcar
Salmão marinado no limão;Entrada;Muito Fácil;1 h 5 m;170 Kcal;4.2;300 gr de salmão fresco (filé ou pavê) | 3 limões (2 sicilianos e 1 verde) | sal | pimenta | 15 gr de salsa;Corte o salmão em cubos. Faça o sumo dos limões. Pique a salsa. | Numa tigela, coloque os ingredientes acima. Tempera a gosto (sal e pimenta). Misture bem. Cubra a tigela com filme plástico. Refrigere por 1 hora. | Está pronto!;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Torrada com damascos assados, rúcula e burrata;Entrada;Muito Fácil;20 min;531 Kcal;4.5;5 damascos | 30 g de rúcula (um punhado grande) | 1 queijo burrata | 1 col. de sopa de mel | 1 col. de sopa de alecrim seco | 2 fatias de pão | azeite de oliva | sal | pimenta | Pimenta malagueta (opcional);Lave e corte os damascos ao meio no sentido do comprimento. | Doure os damascos em uma frigideira quente com um fio de azeite de oliva. | Depois de cozinhar por cerca de 2 minutos, adicione o mel, o alecrim seco, o sal e a pimenta. Cozinhe por cerca de 5 minutos em fogo médio e reserve. | Na mesma frigideira, doure a fatia de pão por cerca de 2 minutos. | Montagem: coloque uma camada de rúcula no pão, os damascos torrados com mel, pedaços de burrata, um fio de azeite de oliva e pimenta (opcional). Sua torrada com damascos assados, rúcula e burrata está pronto :);Vegan | Sem ovo
Salada refrescante de damasco assado, rúcula e burrata;Entrada;Muito Fácil;20 min;976 Kcal;4.5;5 damascos | 30 g de rúcula (um punhado grande) | 1 queijo burrata | 1 col. de sopa de mel | 1 col. de sopa de alecrim seco | 1 fatia de pão (ou croutons prontos) | azeite de oliva | sal | pimenta | pimenta malagueta (opcional);Lave e corte os damascos ao meio no sentido do comprimento. | Doure os damascos em uma frigideira quente com um fio de azeite de oliva. | Depois de cozinhar por 2 minutos, adicione o mel, o alecrim seco, o sal e a pimenta. Cozinhe por 5 minutos em fogo médio e reserve. | Na mesma frigideira, frite os croutons de pão de forma cortados grosseiramente por cerca de 2 minutos. | Monte a salada: coloque a rúcula no fundo do prato, os damascos assados com mel, uma boa burrata, os croutons de pão, um fio de azeite de oliva e pimenta malagueta (opcional). Sua salada de verão está pronta :);Sem ovo
Muffins de abobrinha na air fryer: receita leve e fofinha;Entrada;Muito Fácil;24 min;464 Kcal;4.25;3 ovos | 260 g (2 unid. médias) de abobrinhas (curgetes) | 12 folhas de manjericão | 100 ml de óleo de semente | 100 g de skyr (ou iogurte grego) | 40 g de queijo parmesão ralado | 140 g de farinha trigo | 9 g de fermento químico | sementes de papoula (opcional) | sal a gosto | pimenta a gosto;Lave bem as curgetes (abobrinhas), corte-as nas pontas e rale-as com um ralador de furos grandes. Reserve-as e deixe-as descansar. | Bata os ovos em uma tigela, acrescente o queijo parmesão ralado, o skyr (ou iogurte grego), o óleo de semente, o sal e a pimenta. Misture até ficar homogêneo. | Adicione o fermento em pó e a farinha (um pouco de cada vez) à mistura e mexa com uma espátula até ficar homogêneo e sem grumos. | Acrescente as curgetes (abobrinhas) raladas e o manjericão picado, mexendo para misturar bem todos os ingredientes. | Unte as formas de muffin com spray antiaderente (uma etapa essencial para desenformá-las sem dificuldade) e, em seguida, despeje a mistura, enchendo-as com 2/3 da altura. Polvilhe a superfície com sementes de papoula. | Asse os muffins de abobrinha na Air Fryer a 180°C por cerca de 14/15 minutos, até que estejam dourados e inchados. | Deixe os muffins esfriarem por alguns minutos antes de desenformar e servir. Isso ajuda a mantê-los firmes e evita que se quebrem. | Os muffins de curgetes (abobrinhas) estão prontos!;Sem ovo | Vegetariano | Sem açúcar
Mini folhados de espinafre e queijo de cabra;Entrada;Muito Fácil;35 min;612 Kcal;4.75;200 gr de espinafre fresco | 150 gr de queijo de cabra fresco | 100 ml de natas (creme de leite) | 1 ovo | 1 massa folhada (de preferência retangular) | sal | pimenta | azeite;Pré-aqueça o forno a 180°C. Lave e escorra o espinafre. Na frigideira e no fogo médio, refogue-o no azeite, sal e pimenta por 5 minutos. Reserve-o. | Enquanto isso, coloque na tigela, o queijo de cabra, o ovo, as natas (creme de leite), o sal e a pimenta. | Misture bem. | Quando o espinafre esfriar, pique grosseiramente com uma faca. | Acrescente o espinafre picado à mistura do creme. | Corte a massa folhada em 9 pedaços (é melhor ter uma massa retangular, mas se, como nós, não tiver nenhuma, corte as sobras das bordas e reutilize-as para rechear as massas folhadas no final!) | Coloque os quadrados de massa nas forminhas de muffin untadas. | Despeje a mistura de espinafre e queijo de cabra em cada forma. | Dobre as bordas da massa, selando o máximo possível, e pincele com gema de ovo batida (adicionamos sementes de gergelim para decoração, mas isso é opcional). Asse no forno a 180°C por 25 minutos. | Está pronto. Bom apetite!;Vegetariano | Sem açúcar
Salada de tagliatelle de legumes com molho de amendoim;Entrada;Muito Fácil;15 min;189 Kcal;4.5;1 pepino | 2 cenouras | 1 (a 2) col. sopa azeite | 1 col. sopa pasta amendoim | 1 limão verde (sumo) | sal | pimenta | 50 gr queijo feta (ou outro queijo);Molho: Numa tigela, misture azeite, pasta de amendoim, sumo de limão, sal e pimenta. Reserve. | Descasque o pepino. Com o cortador de legumes, corte-o em lâminas (como o tagliatelle). | Faça o mesmo processo com as cenouras. | Coloque todas as lâminas na travessa de servir. | Despeje o molho e misture. | Por cima, jogue o queijo esfarelado. | Está pronto! Se preferir, também coloque os amendoins.;Vegetariano | Sem açúcar | Sem ovo
Como fazer camarão na air fryer?;Entrada;Muito Fácil;32 min;261 Kcal;5;250 gr de camarão (o nosso foi congelado) | sumo de 1/2 limão | 1 dente de alho | 2 col. sopa azeite | sal | pimenta;Descasque e limpe os camarões. Caso estejam congelados, retire, deixe descongelar e escorra-os. | Pique o alho e coloque-o na tigela, junto com o camarão. Acrescente o sumo de limão e tempere com sal /pimenta. Misture. | Cubra a tigela com filme plástico e deixe marinar no frio (geladeira) por uns 15 minutos. | Forre o cesto da Air Fryer com papel manteiga e coloque os camarões. Programe a 190°C por 12 minutos. | Está pronto! Se desejar, ao servir, tempere com mais limão.;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Trouxinhas crocantes de cogumelo, queijo e pêras;Entrada;Muito Fácil;25 min;340 Kcal;4.5;8 folhas brick (filó) | 2 peras | 200 gr de cogumelos de Paris | 125 gr de (queijo) brie | azeite | sal | pimenta;Limpe e corte os cogumelos. Refogue-os na frigideira com um pouco de azeite por alguns minutos. | Pré-aqueça o forno a 180°C. Durante este tempo, limpe as peras e corte-as em pedaços. O queijo também será cortado em pedacinhos. | Assim que os cogumelos estiverem refogados, acrescente as peras e o queijo. Deixe ainda no fogo baixo por alguns minutos. Tempere com sal e pimenta a gosto. | Montagem: Coloque 2 folhas de brick, uma sobre a outra. No centro, 4 col. de sopa do recheio. Faça a trouxinha e sele (no alto) com 1 palito de dente. Repita a operação para os demais. | Coloque as trouxinhas na assadeira já coberta com papel manteiga (papel vegetal). Leve ao forno a 180°C por 10 min. | Retire as trouxinhas da assadeira delicadamente com uma espátula e coloque-as no prato de servir. Bom apetite!;Vegetariano | Sem açúcar | Sem ovo
Salada de abóbora, batata, rabanete e feta;Entrada;Muito Fácil;40 min;494 Kcal;4.5;80 gr de abóbora (usamos a butternut) | 80 gr de batata | alface (algumas folhas) | rabanete (alguns) | 50 gr de queijo feta (ou outro coalho);Descasque a abóbora e a batata. Corte-os em dados. Acrescente 1 col. de azeite, 1 pitada de sal e o cominho. Misture tudo. Leve ao forno por 30 minutos a 180°C. | Coloque os alfaces no prato. Lave os rabanetes e corte-os em rodelas. Corte também o queijo feta em cubos. | Quando a batata e a abóbora estiverem já prontos, junte-os ao prato (por cima do alface). Acrescente então os cubos de queijo e rabanete. Polvilhe com sésamo (gergelim) e sementes de girassol. Tempere com azeite e vinagre. Bom apetite.;Vegan | Sem glúten | Sem açúcar | Sem ovo
