titulo;categoria;dificuldade;tempo_total;calorias;rating;ingredientes;passos;criterios
Sopa de lentilhas sem gluten;Prato Principal;Médio;45 min;350 Kcal;4.10;200 g lentilhas | 1 cebola | 2 dentes de alho | 1 cenoura;Refogar cebola e alho. | Juntar lentilhas e cenoura, cobrir com água e cozer 30-40 min.;Sem glúten | Vegan
Biscoitos surpresas;Sobremesa;Fácil;1 h;600 Kcal;3.80;200 g farinha | 150 g açúcar | 100 g manteiga;Misturar ingredientes e formar bolinhas. | Levar ao forno 15-20 min a 180°C.;
Omelete light;Prato Principal;Fácil;12 min;150 Kcal;4.50;3 ovos | sal | pimenta | salsa;Bater os ovos, temperar e cozinhar em frigideira antiaderente.;Sem glúten | Sem lactose | Sem açúcar
Risotto cremoso;Prato Principal;Difícil;1 h 20 m;700 Kcal;4.70;300 g arroz arborio | 1 cebola | 150 g queijo ralado | 200 ml vinho branco;Fazer refogado, adicionar arroz e cozinhar mexendo e juntando caldo gradualmente.;Vegetariano
Smoothie verde rápido;Entrada;Fácil;5 min;120 Kcal;4.05;1 banana | 1 punhado espinafre | 200 ml leite vegetal | 1 colher de sopa mel;Bater tudo no liquidificador e servir fresco.;Vegan | Sem lactose | Sem açúcar
Bolo sem ovo;Sobremesa;Médio;50 min;420 Kcal;4.00;250 g farinha | 200 ml leite vegetal | 150 g açúcar | 1 colher sopa fermento;Misturar secos e líquidos, levar ao forno 40-50 min a 180°C.;Sem ovo | Vegetariano
Salmão assado com espargos e limão;Prato Principal;Médio;45 min;440 Kcal;4.82;2 lombos de salmão | 1 molho de espargos | 2 dentes de alho | 1 limão | azeite | sal | pimenta;Pré-aquecer o forno a 180ºC. | Num tabuleiro, colocar o salmão e os espargos lavados. | Temperar com alho picado, sumo de limão, sal, pimenta e um fio de azeite. | Assar durante 20-25 minutos até o peixe lascar facilmente.;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Mousse de chocolate e abacate fit;Sobremesa;Fácil;15 min;280 Kcal;4.65;2 abacates maduros | 4 colheres de sopa de cacau em pó | 3 colheres de xarope de agave ou mel | extrato de baunilha;Cortar os abacates e retirar a polpa. | Colocar num liquidificador com o cacau, o adoçante e a baunilha. | Triturar até obter um creme liso e homogéneo. | Levar ao frigorífico por 1 hora antes de servir.;Vegan | Sem glúten | Sem lactose | Sem ovo
Feijoada à Transmontana;Prato Principal;Difícil;2 h 30 m;950 Kcal;4.90;500g feijão vermelho | 300g carne de porco | 1 chouriço | 1 farinheira | 1 couve lombarda | cebola | alho | louro;Demolhar o feijão de véspera e cozer na panela de pressão com as carnes. | Fazer um refogado com cebola e alho. | Juntar o feijão, as carnes cortadas e a couve ripada. | Deixar apurar em lume brando até o molho engrossar. | Servir com arroz branco.;Sem glúten | Sem açúcar | Sem lactose
Salada de Quinoa Colorida;Prato Principal;Fácil;25 min;310 Kcal;4.55;1 chávena de quinoa | 1 pimento vermelho | 1 pepino | milho doce | azeite | sumo de limão | coentros;Lavar a quinoa e cozer em água fervente por 15 min. | Cortar o pimento e o pepino em cubos pequenos. | Numa taça grande, misturar a quinoa arrefecida com os vegetais e o milho. | Temperar com azeite, limão, sal e coentros frescos.;Vegan | Sem glúten | Sem lactose | Sem ovo | Sem açúcar
Arroz Doce Cremoso Tradicional;Sobremesa;Médio;50 min;415 Kcal;4.72;1 chávena de arroz carolino | 1 litro de leite | 150g açúcar | casca de limão | pau de canela | 3 gemas | canela em pó;Cozer o arroz em água até abrir. | Escorrer e juntar o leite quente, a casca de limão e o pau de canela. | Deixar cozer lentamente mexendo sempre. | Juntar o açúcar e as gemas batidas fora do lume para não talhar. | Levar ao lume só para engrossar e servir polvilhado com canela.;Vegetariano | Sem glúten
Bruschetta de Tomate e Manjericão;Entrada;Fácil;15 min;180 Kcal;4.45;4 fatias de pão rústico | 2 tomates maduros | 1 dente de alho | azeite virgem extra | folhas de manjericão | sal;Torrar as fatias de pão. | Esfregar o dente de alho cru no pão quente. | Picar o tomate em cubos pequenos e temperar com azeite e sal. | Colocar o tomate sobre o pão e decorar com manjericão fresco.;Vegan | Vegetariano | Sem lactose | Sem açúcar | Sem ovo
Lasanha de Vegetais;Prato Principal;Difícil;1 h 15 m;520 Kcal;4.68;placas de lasanha | 1 beringela | 1 curgete | 2 cenouras | molho de tomate | molho bechamel | queijo mozzarella;Cortar os legumes em cubos e saltear em azeite. | Num tabuleiro, alternar camadas de massa, legumes, molho de tomate e bechamel. | Terminar com molho bechamel e bastante queijo. | Levar ao forno a 200ºC até gratinar.;Vegetariano | Sem açúcar
Carpaccio de Carne com Rúcula;Entrada;Médio;20 min;210 Kcal;4.80;200g lombo de novilho (cortado muito fino) | queijo parmesão em lascas | rúcula selvagem | alcaparras | azeite | limão;Dispor a carne fatiada num prato sem sobrepor muito. | Espalhar a rúcula no centro e as alcaparras. | Regar com azeite e sumo de limão. | Terminar com as lascas de parmesão e pimenta moída na hora.;Sem glúten | Sem açúcar | Sem ovo
Espetadas de Fruta com Chocolate;Sobremesa;Fácil;10 min;150 Kcal;4.30;morangos | banana | kiwi | 100g chocolate preto (70% cacau);Cortar as frutas em pedaços de tamanho igual. | Espetar alternadamente em paus de espetada. | Derreter o chocolate em banho-maria. | Fazer fios de chocolate sobre a fruta.;Vegetariano | Sem glúten | Sem ovo
Caldo Verde com Chouriço;Entrada;Médio;45 min;190 Kcal;4.85;5 batatas | 1 cebola | 2 dentes alho | 200g couve galega cortada em caldo verde | azeite | chouriço em rodelas;Cozer as batatas, cebola e alho em água com sal. | Triturar tudo para fazer a base do puré. | Levar ao lume, juntar a couve e o chouriço. | Deixar cozer a couve e adicionar um fio de azeite cru no final.;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Hambúrguer de Grão e Espinafres;Prato Principal;Médio;35 min;340 Kcal;4.40;1 lata de grão de bico | espinafres frescos | cominhos | farinha de aveia | cebola picada;Esmagar o grão de bico grosseiramente. | Misturar os espinafres picados, cebola, cominhos e a farinha para ligar. | Moldar hambúrgueres com as mãos. | Grelhar numa frigideira antiaderente com um fio de azeite até dourar.;Vegan | Vegetariano | Sem lactose | Sem ovo | Sem açúcar
Bolo de Caneca de Microondas;Sobremesa;Fácil;5 min;250 Kcal;3.95;1 ovo | 2 colheres sopa farinha | 2 colheres sopa chocolate em pó | 1 colher sopa óleo | 1 colher sopa leite;Misturar todos os ingredientes na caneca. | Levar ao microondas potência máxima por 3 minutos. | Cuidado ao retirar pois estará quente.;Vegetariano | Sem açúcar
Esparguete à Carbonara (Original);Prato Principal;Médio;25 min;580 Kcal;4.75;400g esparguete | 150g guanciale ou bacon | 4 gemas de ovo | 100g queijo pecorino ou parmesão | pimenta preta moída;Cozer a massa em água com sal. | Fritar o guanciale/bacon na própria gordura até ficar crocante. | Numa taça, bater as gemas com o queijo e muita pimenta. | Juntar a massa quente ao bacon (fora do lume). | Adicionar a mistura de ovos e mexer rápido para criar um creme sem cozinhar o ovo. Juntar um pouco da água da cozedura se necessário.;Sem açúcar
Wok de Legumes e Tofu;Prato Principal;Fácil;15 min;220 Kcal;4.60;200g tofu firme | molho de soja | gengibre fresco | 1 cenoura | 1 pimento | brócolos | óleo de sésamo | sementes de sésamo;Pressionar o tofu para tirar a água e cortar em cubos. | Saltear o tofu no wok com óleo até dourar. Reservar. | No mesmo wok, saltear os legumes cortados em tiras (devem ficar crocantes). | Juntar o tofu, o gengibre ralado e o molho de soja. Saltear mais 2 minutos. | Servir com sementes de sésamo.;Vegan | Vegetariano | Sem lactose | Sem ovo | Sem açúcar
Camarão à Guilho (Alho);Entrada;Fácil;15 min;290 Kcal;4.88;500g camarão descascado | 4 dentes de alho laminados | 1 malagueta | azeite abundante | coentros frescos | sal;Aquecer o azeite numa frigideira larga. | Juntar os alhos e a malagueta, deixando frigir sem queimar. | Adicionar os camarões e fritar até ficarem cor-de-rosa (cerca de 3 min). | Temperar com sal e polvilhar com muitos coentros picados. Servir com pão.;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Brownie de Batata Doce (Fit);Sobremesa;Médio;45 min;180 Kcal;4.50;2 batatas doces cozidas | 1/2 chávena cacau em pó | 1 chávena farinha de aveia | 1/2 chávena mel | nozes picadas;Triturar a batata doce cozida até virar puré. | Misturar o cacau, a farinha de aveia e o mel até ficar uma massa densa. | Incorporar as nozes picadas. | Colocar num tabuleiro pequeno forrado com papel vegetal. | Assar a 180ºC por 25-30 minutos.;Vegetariano | Sem lactose | Sem açúcar
Frango Assado com Limão e Batatinhas;Prato Principal;Fácil;1 h 10 m;550 Kcal;4.70;1 frango inteiro | 500g batatas pequenas | 2 limões | colorau | azeite | alho em pó | sal;Num tabuleiro, colocar o frango e as batatas em redor. | Fazer uma pasta com azeite, sumo de 1 limão, colorau, alho e sal. | Barrar o frango e as batatas com esta mistura. Colocar o outro limão cortado dentro do frango. | Assar a 200ºC até a pele estar estaladiça e dourada.;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
Salada Caprese;Entrada;Fácil;5 min;240 Kcal;4.65;2 bolas de mozzarella fresca | 3 tomates maduros | manjericão fresco | azeite virgem extra | vinagre balsâmico (opcional) | sal;Cortar o tomate e a mozzarella em rodelas de espessura igual. | Dispor no prato alternando: tomate, queijo, folha de manjericão. | Temperar com sal, um fio generoso de azeite e umas gotas de balsâmico.;Vegetariano | Sem glúten | Sem ovo | Sem açúcar
Pizza Margherita Caseira;Prato Principal;Médio;1 h 30 m;600 Kcal;4.85;300g farinha trigo | 150ml água morna | fermento de padeiro | molho de tomate | queijo mozzarella ralado | orégãos;Misturar farinha, água, sal e fermento. Amassar bem e deixar levedar 1 hora. | Esticar a massa em formato redondo. | Espalhar o molho de tomate e cobrir com queijo mozzarella. | Levar ao forno na temperatura máxima (250ºC) por 10-12 minutos. | Finalizar com orégãos.;Vegetariano | Sem açúcar | Sem ovo
Mousse de Manga Simples;Sobremesa;Fácil;10 min;195 Kcal;4.40;2 mangas maduras | 1 iogurte grego natural | mel (opcional) | folhas de hortelã;Descascar e cortar as mangas em pedaços. | Triturar a manga no liquidificador até obter um puré. | Envolver o iogurte grego suavemente (se a manga não for doce, juntar um pouco de mel). | Levar ao frio e decorar com hortelã.;Vegetariano | Sem glúten | Sem ovo
Lulas Recheadas;Prato Principal;Difícil;1 h 20 m;410 Kcal;4.55;8 lulas limpas | tentáculos das lulas picados | 100g presunto picado | 1 cebola | 1 ovo cozido | polpa de tomate | vinho branco;Fazer um refogado com cebola e os tentáculos picados. | Juntar o presunto e o ovo picado. Rechear as lulas e fechar com um palito. | Noutro tacho, refogar cebola, juntar tomate e as lulas. | Regar com vinho branco, tapar e deixar estufar por 30-40 min em lume brando.;Sem glúten | Sem lactose | Sem açúcar
Tarte de Maçã Americana (Apple Pie);Sobremesa;Difícil;1 h 45 m;380 Kcal;4.78;2 bases de massa quebrada | 6 maçãs reineta | 100g açúcar moreno | canela | noz moscada | 1 colher farinha | manteiga;Descascar e fatiar as maçãs. Envolver com açúcar, especiarias e farinha. | Forrar a tarteira com uma base de massa. Colocar o recheio de maçã e pedacinhos de manteiga. | Cobrir com a segunda base de massa, selando as bordas e fazendo cortes no topo para sair o vapor. | Assar a 190ºC por 45-50 minutos até dourar.;Vegetariano
Sopa de Cenoura e Gengibre;Entrada;Fácil;35 min;120 Kcal;4.30;500g cenouras | 1 cebola | 1 pedaço de gengibre fresco (2cm) | caldo de legumes | azeite;Refogar a cebola e o gengibre picado em azeite. | Juntar as cenouras em rodelas e cobrir com o caldo ou água. | Cozer até a cenoura estar tenra. | Triturar até ficar um creme aveludado.;Vegan | Sem glúten | Sem lactose | Sem ovo | Sem açúcar
Bife de Atum com Sésamo;Prato Principal;Fácil;15 min;280 Kcal;4.60;2 bifes de atum fresco | sementes de sésamo (brancas e pretas) | molho de soja | azeite;Passar os bifes de atum pelo molho de soja. | Panar os bifes nas sementes de sésamo, pressionando bem. | Numa frigideira muito quente com um fio de azeite, selar o atum 1 minuto de cada lado (deve ficar cru no meio). | Fatiar e servir.;Sem lactose | Sem açúcar | Sem ovo
Pêras Bêbedas;Sobremesa;Médio;40 min;160 Kcal;4.25;4 pêras rijas | 300ml vinho tinto | 100g açúcar | 1 pau de canela | 1 estrela de anis;Descascar as pêras mantendo o pé. | Num tacho alto, colocar o vinho, açúcar e especiarias. | Quando ferver, colocar as pêras de pé. | Cozer em lume brando, regando as pêras com o molho, até ficarem vermelhas e macias.;Vegan | Sem glúten | Sem lactose | Sem ovo
Caril de Grão e Abóbora;Prato Principal;Médio;40 min;310 Kcal;4.50;400g grão de bico cozido | 300g abóbora | leite de coco | pasta de caril amarelo | espinafres;Refogar a pasta de caril num pouco de óleo. | Adicionar a abóbora em cubos e o leite de coco. Cozinhar 15 min. | Juntar o grão de bico e deixar apurar sabores. | No último minuto, juntar os espinafres frescos para murcharem.;Vegan | Sem glúten | Sem lactose | Sem ovo | Sem açúcar
Ovos Rotos com Presunto;Entrada;Médio;30 min;590 Kcal;4.90;3 batatas grandes | 3 ovos | 100g presunto ibérico | óleo para fritar | sal;Cortar as batatas em palitos ou rodelas e fritar (não deixar ficar muito estaladiças). | Estrelar os ovos em azeite quente deixando a gema líquida. | Colocar as batatas numa travessa, os ovos por cima e o presunto. | Antes de servir, partir os ovos e misturar tudo grosseiramente no prato.;Sem glúten | Sem lactose | Sem açúcar
Consommé Clarificado de Cogumelos Selvagens;Entrada;Difícil;55 min;85 Kcal;4.90;500g cogumelos variados | 2 claras de ovo | 1 cebola queimada | mirepoix (cenoura, aipo) | tomilho | pimenta em grão;Preparar um caldo base com os cogumelos e legumes. | Para clarificar (técnica difícil): bater as claras em castelo misturadas com cogumelos picados frios. | Juntar ao caldo quente, mexendo até formar uma 'jangada' sólida na superfície. | Deixar cozinhar em lume muito brando (simmer) sem ferver por 30 min. | Coar através de um pano de musselina com muito cuidado para não turvar o caldo.;Vegan | Sem glúten | Sem lactose | Sem açúcar
Raviolis Abertos de Curgete e Sapateira;Entrada;Difícil;45 min;210 Kcal;4.85;2 curgetes grandes | 200g carne de sapateira | 1 chalota | cebolinho | limão | 1 colher de iogurte grego ligeiro;Com uma mandolina, cortar a curgete em lâminas muito finas e branqueá-las por 30 segundos. | Limpar a sapateira minuciosamente (trabalhoso) garantindo que não há cascas. | Envolver a sapateira com o iogurte, chalota picada, sumo de limão e cebolinho. | Montar os raviolis cruzando as lâminas de curgete e recheando o centro. | Pincelar com azeite e servir frio.;Sem glúten | Sem açúcar | Pescatariano
Ovo Mollet com Espargos e Texturas;Entrada;Difícil;35 min;185 Kcal;4.70;4 ovos frescos | 1 molho de espargos verdes | pão ralado panko | avelãs torradas | flor de sal;A dificuldade está no ovo: cozer em água a ferver exatamente 5 minutos e 30 segundos. | Parar a cozedura imediatamente em água com gelo. | Descascar os ovos com extremo cuidado para não rebentar a clara (muito delicado). | Grelhar os espargos no ponto. | Servir o ovo sobre os espargos e polvilhar com o panko torrado e avelãs.;Vegetariano | Sem açúcar | Sem lactose
Gyozas de Vegetais (Massa Caseira);Entrada;Difícil;1 h;240 Kcal;4.65;200g farinha de trigo | repolho | gengibre | cogumelos shitake | cebolinho | óleo de sésamo;Fazer a massa misturando farinha e água quente. Amassar até ficar elástica (requer força). | Estender a massa até ficar quase transparente. Cortar círculos. | Picar os vegetais muito finos e retirar o excesso de água. | O passo difícil: Rechear e fechar as gyozas fazendo as pregas tradicionais (pleating) à mão. | Cozer a vapor (steaming) para manter as calorias baixas.;Vegan | Sem lactose | Sem açúcar
Tártaro de Tomate com Gel de Manjericão;Entrada;Difícil;40 min;120 Kcal;4.80;4 tomates coração de boi | ágar-ágar | manjericão fresco | azeite | vinagre de xerez | chalota;Pelar os tomates, retirar as sementes e cortar a carne em cubos perfeitos de 3mm (brunoise). | Deixar o tomate escorrer numa peneira para perder água. | Fazer o gel: triturar manjericão com água, coar, juntar ágar-ágar, ferver, deixar solidificar e triturar novamente até virar gel. | Temperar o tomate no momento de servir e empratar com pontos do gel.;Vegan | Sem glúten | Sem lactose | Sem açúcar
Carpaccio de Vieiras com Citrinos;Entrada;Difícil;30 min;160 Kcal;4.92;8 vieiras frescas grandes | 1 toranja | 1 laranja | 1 lima | pimenta rosa | azeite virgem;O desafio é o corte: fatiar as vieiras cruas em lâminas translúcidas sem as desfazer. | Descascar os citrinos 'em vivo' (retirar a casca e a pele branca) e retirar os gomos supremos. | Dispor as vieiras num prato frio. | Fazer um vinagrete com o sumo que sobrou dos citrinos. | Marinar apenas 2 minutos antes de servir para não 'cozer' o peixe.;Sem glúten | Sem lactose | Sem açúcar | Sem ovo
